Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
bc8794dd-c029-3ecc-8c80-192807cdb4cb,ef58ea08-d883-3957-8300-150554edc8fb,Brad867 Dooley940,M,GENERAL PRACTICE,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,42.520838,-71.770876,19
90381ce2-3215-3a5a-9336-1f9649744ed6,69176529-fd1f-3b3f-abce-a0a3626769eb,Tuyet839 Friesen796,F,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,179
08127547-fcf4-38ab-ac6c-43026ba6f5ee,5e765f2b-e908-3888-9fc7-df2cb87beb58,Lilia791 Stiedemann542,F,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,169
cf2730ca-77ae-3ef8-9bb3-34c1316d86b1,e002090d-4e92-300e-b41e-7d1f21dee4c6,Kyle55 Von197,M,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,12
6728726f-50ce-33c9-9b50-b3509ec340f2,ef6ab57c-ed94-3dbe-9861-812d515918b3,Dee580 Hammes673,M,GENERAL PRACTICE,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,118
50e7cc74-ada0-35c2-acf1-2e6eda55342f,fbf6180e-b800-3ebe-b91d-93d0288c400e,Margareta320 Gerhold939,F,GENERAL PRACTICE,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,-72.597063,289
1ca3c16a-8c73-3391-aac5-4f846016eced,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,Florentino8 Swift555,M,GENERAL PRACTICE,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,6
d1d152a5-7113-3689-b7ba-b6c572d3f575,4bdaa4c2-c664-3089-aee2-7137abbad27f,Darcy899 Carroll471,F,GENERAL PRACTICE,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,7
6ea6c820-8451-39f2-b050-5df0aa806eab,ecc51621-0af3-3b35-ac3e-8b1e34022e92,Wiley422 Smitham825,M,GENERAL PRACTICE,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,6
c71c0245-ee52-3f85-b2ca-48d06ce52740,37b4d73f-652d-3033-a16e-d97b9e8b4cda,Dusti191 Mante251,F,GENERAL PRACTICE,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,42.812141,-70.886646,93
b57fdb4a-ba8d-3bcd-ae3c-3af06186597a,37c0de84-bcaf-3624-82bf-a89b2ac441b8,Kallie862 Fahey393,F,GENERAL PRACTICE,85 HERRICK STREET,BEVERLY,MA,01915,42.556659,-70.84496,32
171952a4-12f6-3bc5-8337-f23a6909816b,4861d01f-019c-3dac-a153-8334e50919f9,Shasta644 Hammes673,F,GENERAL PRACTICE,81 HIGHLAND AVENUE,SALEM,MA,01970,42.50128,-70.897502,158
c8d72787-1de4-3c87-a4ca-2cbc48c9cd81,a0b6ec0c-e587-3b2a-bf9f-248849f29ee5,Brandon214 Tillman293,F,GENERAL PRACTICE,736 CAMBRIDGE STREET,BRIGHTON,MA,02135,42.33196,-71.020173,7
8c8d6f3a-375d-37e5-889d-1ec50db2e981,4f3a530e-a2f7-3de0-9a09-c0a70a9ab894,Delpha270 Prosacco716,F,GENERAL PRACTICE,725 NORTH STREET,PITTSFIELD,MA,01201,42.452045,-73.26054,108
c0278b26-6b64-30f8-af45-5861e1771ce7,c44f361c-2efb-3050-8f97-0354a12e2920,Reid278 Borer986,M,GENERAL PRACTICE,680 CENTER STREET,BROCKTON,MA,02302,42.082543,-71.024638,227
6e32a8da-eb63-3b5c-a1bf-34e193a32df1,331f4c11-d298-308b-aaa1-d7825b29b57f,Art115 Spencer878,M,GENERAL PRACTICE,201 HIGHLAND STREET,CLINTON,MA,01510,42.411887,-71.690005,88
c5c7a81f-3921-3003-ba74-21c40b66a591,b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,Ciera654 Corkery305,F,GENERAL PRACTICE,275 SANDWICH STREET,PLYMOUTH,MA,02360,41.897892,-70.62403,154
0483e868-de90-382e-baf9-adf8fef95873,6be05ccf-ef94-341f-a2a3-1cf9bfde1b18,Sigrid676 Lueilwitz711,F,GENERAL PRACTICE,107 LINCOLN STREET,WORCESTER,MA,01605,42.269478,-71.807783,10
18adbd28-7486-3cce-9b26-0ea6063bd3ba,b0e04623-b02c-3f8b-92ea-943fc4db60da,Tommye961 Goyette777,F,GENERAL PRACTICE,295 VARNUM AVENUE,LOWELL,MA,01854,42.638893,-71.32210699999997,74
ddea7ce4-16ef-316b-8781-5903daec7f59,fd328395-ab1d-35c6-a2d0-d05a9a79cf11,Ignacio928 Portillo767,M,GENERAL PRACTICE,271 CAREW STREET,SPRINGFIELD,MA,01104,42.115454,-72.539978,124
4348e4c2-66b8-3371-b1f6-49f9bd697d7b,d692e283-0833-3201-8e55-4f868a9c0736,Chadwick722 Green467,M,GENERAL PRACTICE,585 LEBANON STREET,MELROSE,MA,02176,42.455723,-71.05901899999998,104
46d19718-7fc4-394e-b0a5-a511e53b814d,d78e84ec-30aa-3bba-a33a-f29a3a454662,Johnnie679 Jaskolski867,M,GENERAL PRACTICE,55 FRUIT STREET,BOSTON,MA,02114,42.33196,-71.020173,1
56919298-10a5-359b-a439-940be5268b14,8ad64ecf-c817-3753-bee7-006a8e662e06,Michell380 Torphy630,F,GENERAL PRACTICE,88 WASHINGTON STREET,TAUNTON,MA,02780,41.903323,-71.094984,1655
ba3a303e-6897-32f4-8ddf-c7116ca6aab6,23834663-ed53-3da9-b330-d6e1ecb8428e,Sadye922 Turcotte120,F,GENERAL PRACTICE,363 HIGHLAND AVENUE,FALL RIVER,MA,02720,41.725351,-71.094162,1
0287e6d3-b774-3c2a-b225-687880fc6b41,44bef9d3-91c2-3005-93e0-ccf436348ff0,Chase54 Green467,M,GENERAL PRACTICE,243 CHARLES STREET,BOSTON,MA,02114,42.33196,-71.020173,12
be043b25-761f-390a-8f9d-bea564858b99,7fb56531-86bd-3e4a-8619-4df9942da309,Al123 Robel940,M,GENERAL PRACTICE,148 CHESTNUT STREET,NEEDHAM,MA,02494,42.281593,-71.242414,60
d3e1c37c-ada8-3639-a838-648b57ae3e66,03347b4d-994e-302b-848b-58019a4e274d,Jamey282 Orn563,M,GENERAL PRACTICE,133 OLD ROAD TO 9 ACRE CORNER,W CONCORD,MA,01742,42.269478,-71.807783,24
d5dcf446-3576-384b-acf9-19d78aa5c1a4,cb6a50e0-af76-3758-99ad-3200ede03fff,Kathaleen265 Stiedemann542,F,GENERAL PRACTICE,330 BROOKLINE AVENUE,BOSTON,MA,02215,42.33196,-71.020173,12
1374988c-a23e-352b-a9d5-aa3accdfba6c,9a7149fa-49fc-3c87-b935-d29c55808717,Nguyet780 McDermott739,F,GENERAL PRACTICE,125 PARKER HILL AVENUE,BOSTON,MA,02120,42.33196,-71.020173,4
dc42ba2d-8cc8-3733-9efc-1c2c0d30c882,24cb4eab-6166-3530-bddc-a5a8a14a4fc1,Clement78 O'Connell601,M,GENERAL PRACTICE,14 PROSPECT STREET,MILFORD,MA,01757,42.158692,-71.521419,36
